# TILEID RA DEC N
1626	17.58	22.99	18693
1627	18.65	20.48	18687
1628	19.67	17.97	18693
1629	20.64	15.46	18687
1630	21.59	12.94	18676
1631	22.51	10.42	18695
1632	23.42	7.89	18696
1633	20.59	7.98	18684
1634	17.82	8.02	18676
1635	15.07	8.03	18682
1636	12.34	8.03	18679
1637	9.60	8.02	18669
1638	6.86	8.01	18670
1639	4.12	8.00	18671
1640	1.37	7.99	18652
1641	13.17	25.65	18677
1642	14.38	23.16	18692
1643	15.52	20.66	18684
1644	16.60	18.15	18719
1645	17.63	15.63	16686
1646	18.63	13.09	18249
1647	19.61	10.55	18683
1648	16.77	10.61	18704
1649	13.96	10.64	18696
1650	11.16	10.65	18715
1651	8.37	10.65	18713
1652	5.58	10.64	18690
1653	2.79	10.63	18689
1654	0.00	10.63	18696
1655	11.18	23.27	18695
1656	12.40	20.78	18684
1657	13.55	18.26	18675
1658	14.66	15.73	18663
1659	15.72	13.18	18695
1660	12.84	13.23	18685
1661	9.98	13.25	18658
1662	7.12	13.25	18658
1663	4.27	13.25	18687
1664	1.42	13.24	18654
1665	7.98	23.34	18690
1666	9.29	20.85	18706
1667	10.53	18.33	18713
1668	11.70	15.79	18693
1669	8.77	15.82	18693
1670	5.84	15.83	18688
1671	2.92	15.83	18710
1672	0.00	15.83	18697
1673	6.19	20.88	18696
1674	7.51	18.36	18686
1675	4.50	18.38	18704
1676	1.50	18.38	18707
1677	3.09	20.90	18692
1776	111.74	23.39	18699
1795	121.99	20.98	18679
1796	119.51	22.39	18703
1797	117.00	23.77	18694
1798	114.44	25.10	18705
1799	111.84	26.40	18709
1815	122.27	23.97	18688
1816	119.74	25.39	18693
1817	117.17	26.78	18700
1818	114.54	28.13	18708
1819	111.87	29.43	18702
1820	109.14	30.69	18690
1831	125.08	25.48	18687
1832	122.53	26.96	18699
1833	119.93	28.40	18711
1834	117.28	29.81	18712
1835	114.56	31.18	18674
1845	125.39	28.46	18694
1846	122.76	29.96	18700
1847	120.07	31.43	18694
1848	117.30	32.86	18276
1849	114.45	34.24	5453
1855	128.33	29.88	18708
1856	125.67	31.44	18678
1857	122.93	32.97	18149
1858	120.12	34.47	9029
1863	128.67	32.83	17832
1864	125.90	34.43	12481
1867	131.78	34.11	10581
1868	21.99	27.47	18690
1869	23.03	24.94	18685
1870	24.02	22.41	18695
1872	25.89	17.35	18715
1874	42.27	7.58	17297
1875	28.49	9.82	18683
1876	37.95	4.51	18673
1877	35.80	2.96	18686
1878	31.00	2.21	18692
1879	33.12	4.31	18685
1880	32.34	6.87	18695
1881	31.53	9.39	18690
1882	30.71	11.90	18686
1883	29.87	14.41	18692
1884	29.01	16.94	18694
1885	28.13	19.47	18678
1886	27.23	22.00	18689
1887	26.30	24.55	18703
1888	25.33	27.10	18693
1889	24.33	29.65	18040
1897	39.58	9.01	18649
1898	37.42	7.47	18664
1899	35.27	5.92	18676
1900	34.55	8.64	18678
1901	33.77	11.25	18668
1902	32.96	13.82	18675
1903	32.14	16.38	18689
1904	31.30	18.93	18705
1905	30.44	21.49	18669
1906	29.56	24.05	18684
1907	28.66	26.62	18697
1908	27.73	29.20	18688
1915	41.19	13.43	18687
1916	38.96	11.87	18694
1917	36.75	10.28	18691
1918	36.01	12.98	18655
1919	35.24	15.62	18682
1920	34.45	18.23	18687
1921	33.63	20.83	18694
1922	32.81	23.43	18681
1923	31.96	26.03	18705
1924	31.10	28.64	18697
1932	38.27	14.63	18704
1933	37.54	17.34	18692
1934	36.79	20.01	18675
1935	36.01	22.66	18710
1936	35.23	25.31	13563
1937	34.43	27.96	16204
1938	33.62	30.61	10912
1944	39.86	19.00	18681
1947	37.70	27.14	9244
2058	177.30	0.00	18657
2059	174.60	0.00	18635
2060	171.91	0.00	18664
2062	166.56	0.00	18634
2065	158.61	0.00	18632
2066	150.67	-7.31	18639
2067	149.84	-4.80	18694
2068	150.61	0.00	18647
2069	151.95	-2.66	18689
2070	154.63	-2.71	18670
2071	157.28	-2.71	18693
2072	159.92	-2.71	18676
2073	162.56	-2.70	18691
2074	165.22	-2.70	18673
2075	167.89	-2.69	18651
2076	170.56	-2.68	18681
2077	173.25	-2.68	18689
2078	175.95	-2.67	18688
2079	178.65	-2.67	18656
2088	153.68	-7.69	17238
2089	152.83	-5.19	18669
2090	155.66	-5.33	18688
2091	158.39	-5.37	18688
2092	161.09	-5.38	18673
2093	163.78	-5.38	18686
2094	166.47	-5.38	18710
2095	169.16	-5.37	18686
2096	171.86	-5.35	18680
2097	174.57	-5.34	18677
2098	177.28	-5.34	18702
2099	180.00	-5.33	18701
2107	156.58	-7.89	18690
2108	159.41	-7.98	18650
2109	162.18	-8.02	18659
2110	164.93	-8.03	18685
2111	167.66	-8.03	18654
2112	170.40	-8.02	18679
2113	173.14	-8.01	18674
2114	175.88	-8.00	18621
